Node_BC,node_cn_0,score_cn_0,node_cn_1,score_cn_1,node_cn_2,score_cn_2
1 achat sur le web,achat,20.889288,achats,19.629185,achate,19.629185
1 mail,mail,14.255846,e mail,14.255846,e mails,14.255846
1 mail avec pièce jointe,pièces jointes,49.98743,pièce jointe,49.98743,pièce à pièce,37.54
1 requête de navigation web,navigation,45.191742,requête,44.907303,requêtes,44.907303
1 requête internet,inter requête,50.267258,inter requêtes,50.267258,requêter,46.231037
1 SPAM,spam,21.172659,spams,19.813473,anti spam,18.618267
1 transaction logiciel classique,transaction,41.43801,transactions,39.602642,sous transaction,37.92296
1 tweet,tweet,35.903378,tweeta,33.73758,tweete,33.73758
Abricot,abricot,33.23729,abricota,31.44817,abricote,31.44817
Acide chlorhydrique,acide chlorhydrique,68.19141,chlorhydrique,61.092514,chlorhydriques,58.501373
"Acide citrique, monohydrate",monohydrate,55.133232,monohydraté,49.89141,monohydrique,49.05582
"Acide D,L tartrique",acide tartrique,47.895,acides tartriques,45.773636,acide pyrotartrique,40.40481
Acide nitrique 50%,acide nitrique,44.163815,acide nitrique pur,42.11706,acide citrique,38.163418
Acide phosphorique,acide phosphorique,62.625656,acides phosphoriques,60.317448,acide pyrophosphorique,54.32267
Acide sorbique,acide sorbique,49.95351,acide ascorbique,39.656487,acide l ascorbique,39.656487
Acide sulfurique,acide sulfurique,56.852444,acides sulfuriques,54.441135,acide disulfurique,52.22605
Acier ou fer blanc,fer blanc,25.45305,fers blancs,22.712845,arc en ciel blanc,22.67014
Adhésif Epoxy,adhésif,41.53273,adhésifs,39.297077,auto adhésif,37.289814
Adoucisseur d'eau,adoucisseur d’ eau,49.005447,adoucisseur d eau,49.005447,adoucisseurs d’ eau,46.92696
Agglomérés de houille,agglomérés,52.330444,aggloméré,49.153103,auto agglomérés,47.69481
Agneau,agneaux,30.423246,agneau,30.423246,agneaux de lait,28.69244
Aimant,aimant,26.677029,re aimant,26.677029,aimanta,25.159348
Alcool,alcool,36.497875,alcools,34.42148,alcoolé,34.42148
Alimentation,alimentation,39.727222,alimentations,38.042255,suralimentation,36.494404
Aluminium,l’ aluminium,47.016823,aluminium,47.016823,éka aluminium,44.731953
Amandes,amandes,25.474672,amande,25.474672,amande de mer,24.025394
Ammoniaque anhydre,anhydre,43.656784,ammoniaque,42.636375,anhydres,41.306797
Ammonitrate,nitrate d ammonium,40.58342,nitrate de cérium et d ammonium,34.47548,nitrates,30.8088
Ananas,ananas,28.810484,bananas,27.503908,jus d’ ananas,27.503908
Anis - Badiane,badiane,35.18628,badianes,33.292248,badianier,30.156979
Anthracite,anthracite,46.526768,anthracites,46.526768,anthraciteux,44.370502
Appareil photo,appareils photo,47.243034,appareil photo,47.243034,appareil photo numérique,36.57768
Aquarium,aquarium,40.85231,aquariums,38.765614,arium,26.238556
Arboriculture / viticulture,arboriculture,85.07859,viticulture,82.574974,arboricultures,81.61694
Arbuste en conteneur,arbustes,36.95398,arbuste,36.95398,conteneur,33.922993
Armoire,armoire,28.162329,armoires,26.560146,lit armoire,26.560146
Artichauts,artichauts,42.894924,artichaut,36.551384,artichauts du canada,35.913742
Ascenseur,ascenseur,42.739784,ascenseurs,40.662766,cage d’ ascenseur,38.778267
Asperges,asperges,38.637726,asperges des bois,34.88238,auto asperges,34.88238
Aspirateur,aspirateur,45.34474,aspirateurs,43.243256,aspirateur de site web,39.57507
Aspirateur ménager,aspirateur,45.34474,aspirateurs,43.243256,aspirateur de site web,39.57507
Aspirateur professionnel,professionnel,47.630825,non professionnel,45.692837,professionnels,45.692837
Aubergine,aubergine,44.276646,aubergines,42.12494,auberginisa,36.220478
Autobus,autobus,34.17756,autobut,26.180752,autobus scolaire,25.480042
Autres acides et sels d'acides,acide,46.843204,acides,46.843204,acide 1,46.843204
Autres cultures industrielles (y compris pommes de terre et betteraves),betteravicultures,50.83972,industrielle,48.617813,industrielles,48.617813
Autres produits pétroliers,produits,43.32403,co produits,43.32403,auto produits,42.481335
Avion (marchandises),marchandise,40.628105,marchandises,40.628105,dé marchandise,40.628105
Avion (voyageurs),voyageurs,47.8032,voyageur,44.37141,commis voyageurs,39.693214
Avocat,avocat,32.035515,avocate,30.212982,avocates,30.212982
Baba au rhum,baba au rhum,35.76751,rhum,21.376808,rhume,20.00452
Baies de disques,baies de disques,38.707153,baie de disques,34.882385,disques,28.990713
Baladeurs numériques,baladeurs,42.955307,numériques,42.307865,pré numériques,40.25184
Ballon,ballon,24.66631,ballon à gaz,23.26302,jeu de ballon,23.26302
Banana Split,banana split,46.831127,banana splits,44.784885,banana,30.367687
Banane,banane,27.678995,bananes,26.10431,bananez,26.10431
Banol,urbanologie,16.848507,albanologie,16.848507,albanologies,16.102253
Bar ou dorade,dorade,29.230373,dorades,29.230373,dorade rose,26.08351
Bar ou Dorade,dorade,29.230373,dorades,29.230373,dorade rose,26.08351
Barre de son,barre,21.363197,la barre,21.363197,barrer,20.074505
"Basket, panier extérieur avec socle en béton",extérieur,41.923443,à l extérieur,41.923443,à l extérieur de,41.923443
"Basket, panier intérieur fixe avec socle en béton",basket,41.008995,baskets,38.675953,basketteur,37.663055
Bateau automoteur,bateau à moteur,46.208393,automoteur,40.578667,automoteurs,38.698067
Bateau pousseur,bateau pousseur,48.644337,bateaux pousseurs,46.581165,pousseur,32.13027
